徳島県内電気自動車充電スタンド一覧(判明分),,,,2014/9/30,,,
ID,スタンド名,郵便番号,住所,緯度,経度,電話番号,URL
1,(有)パレス吉野 阿波の国 昴宿よしの,770-0833,徳島県徳島市一番町3-18,34.07290968,134.5507853,088-654-2255,http://www.awa-yoshino.co.jp/
2,株式会社日産サティオ徳島 徳島支店 ,771-1151,徳島県徳島市応神町古川字日の上8,34.1015665,134.5574593,088-665-4551,http://www.nissan-satio-tokushima.co.jp/
3,徳島トヨタ自動車(株) 本店,770-0942,徳島県徳島市昭和町4-25,34.06291348,134.5613308,088-622-7141,
4,徳島三菱自動車販売 昭和店 ,770-0942,徳島県徳島市昭和町4ー16ー1,34.062278,134.562455,088-623-6300,http://map.mitsubishi-motors.co.jp/dealer-search/showKyoten.do?hanshaCD=7701&kyotenCD=80&todofukenCD=36&jyudenKbn=0&menuRoute=6
5,徳島日産自動車株式会社 徳島店 ,770-0942,徳島県徳島市昭和町8-44-5,34.052668,134.573231,088-623-2161,http://www.tokushima-nissan.co.jp/
6,徳島トヨペット(株) 徳島昭和店,770-0942,徳島県徳島市昭和町8-7,34.05688386,134.571039,088-622-9131,http://www.p-tokushima.co.jp/showa/index.html
7,徳島県 徳島保健所庁舎,770-0855,徳島県徳島市新蔵町3-80,34.0699762,134.5612715,088-625-7751,http://our.pref.tokushima.jp/kenkou/subtop.php?area=1
8,阿波スズキ販売(株) 阿波スズキ・アリーナ川内,771-0124,徳島県徳島市川内町鈴江南73-3,34.09727868,134.5725156,088-665-7270,http://www.awa-suzuki.com/
9,徳島トヨタ自動車(株) アトラツイン,770-0807,徳島県徳島市中前川町5-1-300,34.08018446,134.5475905,088-623-4811,
10,徳島県 県庁本庁舎 外来駐車場,770-8570,徳島県徳島市万代町1-1,34.0662142,134.5584816,088-621-2064,http://www.pref.tokushima.jp/
11,(株)大洋 スーパーオートバックス徳島問屋町,770-8056,徳島県徳島市問屋町77-4,34.0496331,134.5454752,088-623-7005,http://www.autobacs.com/store/top/top?store=091732
